iteration,lambda1,lambda2,accepted
10,1.5974686268725546,-0.12702088011896343,T
20,1.5974686268725546,-0.12702088011896343,T
30,1.715308095525678,-0.17277392485741508,T
40,1.6760364981218547,-0.11422762729945712,T
50,1.7011658723162708,-0.1201077932464909,T
60,1.7011658723162708,-0.1201077932464909,T
70,1.7011658723162708,-0.1201077932464909,T
80,1.7011658723162708,-0.1201077932464909,T
90,1.6823813709145108,-0.05773289995590669,T
100,1.6870488409804494,-0.0861474518652656,T
110,1.6870488409804494,-0.0861474518652656,T
120,1.7038788052344134,-0.10991120843836677,T
130,1.7038788052344134,-0.10991120843836677,T
140,1.7133369785259263,-0.10252853410015884,T
150,1.7133369785259263,-0.10252853410015884,T
160,1.7133369785259263,-0.10252853410015884,T
170,1.7133369785259263,-0.10252853410015884,T
180,1.7133369785259263,-0.10252853410015884,T
190,1.7133369785259263,-0.10252853410015884,T
200,1.7133369785259263,-0.10252853410015884,T
